# d_ij	D_ij  (gapblock v3)
143.0000	1809.8947
141.0000	1890.1180
155.0000	1564.9182
139.0000	1475.6006
127.0000	2186.0688
140.0000	1864.4450
84.0000	984.4958
126.0000	1891.8639
119.0000	1373.1803
122.0000	1330.8542
89.0000	1199.3994
137.0000	1733.5224
103.0000	1803.8675
107.0000	1126.4275
149.0000	2340.9673
154.0000	2282.1862
98.0000	1245.8122
85.0000	995.3527
41.0000	530.2547
111.0000	1329.6142
104.0000	1168.1815
85.0000	1111.5440
77.0000	877.0935
67.0000	998.1553
110.0000	1078.6603
108.0000	984.5410
98.0000	1077.1639
123.0000	1304.4424
117.0000	1070.7152
154.0000	2556.0080
130.0000	1810.0086
146.0000	1871.1195
140.0000	1687.3047
140.0000	1881.6267
77.0000	748.6615
128.0000	1779.8955
124.0000	1526.2821
72.0000	849.6087
83.0000	1300.5872
117.0000	1119.5856
87.0000	1039.2420
86.0000	978.6516
139.0000	2119.2463
107.0000	938.5654
110.0000	1220.3938
102.0000	1054.5293
139.0000	1839.6304
118.0000	1201.2656
124.0000	1252.8045
145.0000	2054.9684
129.0000	1408.6579
81.0000	765.6592
93.0000	1053.3551
97.0000	1366.6170
118.0000	1040.7521
103.0000	1419.5823
143.0000	1737.9643
124.0000	1604.6389
136.0000	1734.1721
130.0000	1505.5278
106.0000	1035.8914
157.0000	1592.8927
131.0000	1700.0156
149.0000	1681.6590
83.0000	1247.2498
126.0000	1316.7198
111.0000	1309.9153
118.0000	1421.1246
107.0000	1084.1471
146.0000	1338.0770
122.0000	1800.4860
127.0000	1251.2074
120.0000	1582.9296
119.0000	1856.3876
141.0000	1331.2584
130.0000	1433.5536
102.0000	1104.1952
138.0000	1601.4799
108.0000	1151.1242
145.0000	1462.0554
112.0000	1101.1417
88.0000	1098.2828
103.0000	1067.6395
97.0000	1099.5326
142.0000	1881.5605
86.0000	1122.2304
65.0000	974.7507
101.0000	1111.6708
102.0000	1430.3419
101.0000	1274.4089
105.0000	1531.1355
101.0000	882.8958
135.0000	1759.1944
114.0000	1867.8399
120.0000	1849.4513
108.0000	1319.8170
94.0000	1308.8999
96.0000	1024.9146
131.0000	1400.6495
122.0000	1554.9762
146.0000	1639.5039
126.0000	1799.6286
120.0000	1341.1853
85.0000	919.8331
95.0000	1205.5065
86.0000	1359.1957
102.0000	952.0273
70.0000	1107.1798
84.0000	941.1987
128.0000	1585.5829
152.0000	1755.6409
144.0000	1674.8701
137.0000	3084.5528
145.0000	2645.5219
154.0000	2067.5261
106.0000	1163.7384
121.0000	1161.5942
160.0000	1988.4921
90.0000	1138.2091
121.0000	1225.3971
163.0000	1333.9520
148.0000	1741.2952
127.0000	1974.5967
137.0000	1769.9181
139.0000	1451.2274
146.0000	1574.8609
130.0000	1434.6508
128.0000	1902.3307
153.0000	2212.7802
123.0000	1385.1484
98.0000	1250.1424
122.0000	1119.6526
105.0000	1308.2248
91.0000	1294.2202
90.0000	1304.3320
98.0000	1169.0813
100.0000	1158.6233
93.0000	1182.5747
139.0000	1965.0618
94.0000	1007.3976
83.0000	1219.4732
111.0000	1488.3884
104.0000	1051.8926
155.0000	1517.2043
69.0000	758.8814
166.0000	1425.4606
149.0000	1416.0092
116.0000	1224.0699
157.0000	1707.3225
107.0000	1948.4994
147.0000	1863.6995
166.0000	2169.2702
146.0000	1501.7916
160.0000	1598.8552
138.0000	2032.3742
148.0000	2224.1598
150.0000	1941.7005
136.0000	2247.6652
133.0000	2703.9573
118.0000	1248.1987
127.0000	1762.0014
127.0000	2057.1463
69.0000	968.1482
116.0000	1210.9430
138.0000	1429.0637
122.0000	1404.0730
103.0000	1318.0053
89.0000	1061.7368
86.0000	892.2606
107.0000	1212.8050
119.0000	1000.6943
113.0000	1454.4501
146.0000	1365.0143
172.0000	2345.3671
131.0000	1162.2113
128.0000	1296.4960
126.0000	1283.1563
136.0000	2380.2510
149.0000	2228.2040
160.0000	1768.9709
169.0000	1469.7932
152.0000	2021.8054
127.0000	2192.0002
159.0000	2432.0633
180.0000	2160.3254
123.0000	3078.3393
143.0000	2608.3384
181.0000	1895.2958
205.0000	1899.7650
157.0000	1624.6781
149.0000	1732.9746
127.0000	2028.9071
146.0000	1352.4404
144.0000	1702.4115
117.0000	1430.2440
88.0000	888.9252
116.0000	1293.1682
81.0000	1116.6441
81.0000	1071.6870
121.0000	1557.6248
100.0000	1302.1659
117.0000	1460.6012
120.0000	1664.1926
111.0000	1105.0538
89.0000	887.5861
96.0000	1184.4944
115.0000	1391.4446
142.0000	1810.3734
74.0000	901.4644
138.0000	1273.1437
127.0000	1491.6263
109.0000	1092.8298
114.0000	1319.5238
70.0000	880.2068
102.0000	1155.0610
125.0000	1484.8923
156.0000	2860.4917
118.0000	1466.1463
80.0000	957.0825
122.0000	1452.5261
122.0000	1686.7984
104.0000	1335.0801
150.0000	2341.9784
101.0000	1001.0649
80.0000	961.8409
87.0000	1217.9828
150.0000	2325.9699
124.0000	1398.3515
125.0000	1837.2460
114.0000	1225.3922
76.0000	1139.7601
100.0000	1794.6055
144.0000	1067.4249
168.0000	1394.9484
126.0000	1277.3081
149.0000	1437.4189
127.0000	1943.2169
117.0000	1760.0918
115.0000	1444.0464
96.0000	3198.0219
180.0000	1590.8950
154.0000	1567.8504
104.0000	1151.5972
136.0000	1217.3410
95.0000	1249.7544
106.0000	1429.2599
119.0000	1416.5024
117.0000	1221.8948
136.0000	1359.9298
131.0000	1905.0559
87.0000	921.4054
138.0000	1180.1695
162.0000	1772.6898
124.0000	1196.8400
150.0000	2486.7786
105.0000	1014.7280
110.0000	1365.8781
107.0000	1269.5980
133.0000	956.6870
134.0000	1680.3815
116.0000	1463.7254
120.0000	1523.5268
135.0000	1458.1687
99.0000	1801.3215
101.0000	1785.5627
92.0000	1404.0420
148.0000	1573.2651
117.0000	1362.7975
145.0000	2492.2474
106.0000	1593.6508
94.0000	1131.1578
82.0000	1023.2610
115.0000	1997.3946
67.0000	874.7314
92.0000	1086.7796
79.0000	1297.2001
97.0000	1684.0205
131.0000	1733.5723
120.0000	1454.4556
112.0000	1530.4571
78.0000	998.3206
113.0000	1692.1814
115.0000	1544.8023
92.0000	2242.5196
142.0000	1414.8410
119.0000	1272.6064
126.0000	1387.1135
116.0000	1113.9502
123.0000	1306.5696
130.0000	1855.9130
100.0000	1457.3846
110.0000	1410.8997
132.0000	1341.6359
116.0000	1268.1628
99.0000	1660.7008
175.0000	2097.9287
88.0000	1596.9042
144.0000	2035.4555
140.0000	1379.2741
141.0000	1444.8232
152.0000	1742.5206
110.0000	1400.2332
61.0000	702.1659
83.0000	1036.3291
82.0000	804.7695
82.0000	1041.8589
110.0000	1166.1166
103.0000	1675.4050
122.0000	1500.8061
99.0000	1283.1882
103.0000	1150.5038
138.0000	1942.5213
138.0000	1418.3071
101.0000	1132.7025
101.0000	1229.4808
102.0000	1005.7738
74.0000	1300.0081
96.0000	892.6119
106.0000	1185.1785
122.0000	1308.3100
112.0000	1349.0552
117.0000	1342.0641
113.0000	1185.7862
79.0000	2362.5029
110.0000	924.0768
112.0000	1141.5678
101.0000	1679.9345
142.0000	1373.7125
146.0000	1577.3075
155.0000	1659.1757
130.0000	1803.2584
124.0000	1664.3380
119.0000	1388.2431
140.0000	2532.7791
127.0000	1315.1544
96.0000	2066.5793
131.0000	1576.8503
139.0000	1671.4066
72.0000	1259.4689
114.0000	1538.4918
111.0000	1739.1636
88.0000	2932.0116
74.0000	1799.2562
113.0000	1430.9354
124.0000	1617.0974
120.0000	1214.9062
115.0000	1286.9374
119.0000	1015.1468
160.0000	1775.1293
65.0000	916.0715
107.0000	1007.8378
115.0000	1728.9199
107.0000	1031.0102
120.0000	1383.8114
138.0000	1392.2015
133.0000	1493.6563
100.0000	1556.3582
114.0000	2784.2150
115.0000	1423.9010
146.0000	1364.4076
115.0000	1371.9257
97.0000	1133.6225
83.0000	1035.6978
95.0000	989.1279
135.0000	2564.0207
60.0000	890.6891
76.0000	1183.0558
95.0000	1825.4610
74.0000	1229.2477
115.0000	2352.8308
107.0000	2822.9961
70.0000	1029.7966
146.0000	1663.9108
153.0000	1914.7650
132.0000	2004.0162
123.0000	1748.9731
152.0000	1519.6924
182.0000	1872.1781
124.0000	2199.8554
109.0000	2685.7666
141.0000	1760.3244
63.0000	695.3057
95.0000	907.7180
115.0000	1468.7352
76.0000	930.5939
84.0000	1020.6635
119.0000	1293.5478
115.0000	1298.7983
120.0000	1268.3576
